FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature (celcius),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
Cr1 Cu1 Fe1 Mn1 Ni1,Other,WROUGHT,other,2.2,,8.1,183,T,25,850,960,14.3,,,,,,
Cr1 Cu1 Fe1 Mn1 Ni1,Other,WROUGHT,other,6.5,,8.1,162,T,25,470,640,34.8,,,,,,
Co0.476 Cr0.476 Fe0.476 Nb0.095 Ni1,FCC+Laves,CAST,other,,,8.3,,T,25,170,537,32,,,,,,
Co0.476 Cr0.476 Fe0.476 Nb0.19 Ni1,FCC+Laves,CAST,other,,,8.4,,T,25,640,840,7,,,,,,
Co0.476 Cr0.476 Fe0.476 Nb0.095 Ni1,FCC+Laves+Sec.,ANNEAL,other,,,8.3,,T,25,560,860,19,,,,,,
Co0.476 Cr0.476 Fe0.476 Nb0.19 Ni1,FCC+Laves,ANNEAL,other,,,8.4,,T,25,,,3,,,,,,
C0.053 Co1 Cr1 Fe1 Mn1 Ni1,FCC+Sec.,ANNEAL,other,,,8,345,C,800,,,,,,,,,
C0.053 Co1 Cr1 Fe1 Mn1 Ni1,FCC+Sec.,ANNEAL,other,,,8,285,C,1000,,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC+FCC,POWDER,other,10.21,,6.7,550,C,25,1221.1,,30,23.2,,,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC+FCC,POWDER,other,15.68,,6.7,510,C,25,1186.7,,33,26.5,,,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC+FCC,POWDER,other,16.7,,6.7,503,C,25,1112.9,,30,21.4,,,,,
Cr1 Mo1 Nb1 Ti1 W1,BCC+Laves,POWDER,other,,,9.9,,C,25,2500,,10,,,,,,
Cr1 Mo1 Nb1 Ti1 W1,BCC+Laves,POWDER,other,,,9.9,,C,25,1260,,4.8,,,,,,
Cr1 Mo1 Nb1 Ti1 W1,BCC+Laves,POWDER,other,,,9.9,,C,25,1630,,4.85,,,,,,
Cr1 Mo1 Nb1 Ti1 W1,BCC+Laves,POWDER,other,,,9.9,,C,25,2030,,4.3,,,,,,
Cr1 Mo1 Nb1 Ti1 W1,BCC+Laves,POWDER,other,,,9.9,,C,25,1920,,5,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2,POWDER,other,,,6.7,,C,25,,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2,POWDER,other,,,6.7,,C,25,,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,POWDER,other,,,6.7,,C,25,,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,POWDER,other,,,6.7,,C,25,,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,POWDER,other,,,6.7,,C,25,520,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,POWDER,other,,,6.7,,C,25,1150,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,POWDER,other,,,6.7,,C,25,1287,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,POWDER,other,,,6.7,,C,25,1286,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,POWDER,other,,,6.7,,C,25,1390,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,POWDER,other,,,6.7,,C,25,1626,,,,,,,,
Cr1 Fe1 Mn1 Ni1,FCC,,FCC,,,7.8,,,,,,,,,222,,,
Co0.25 Cr0.25 Fe1 Mn1,FCC,CAST,FCC,,,7.7,,T,25,213,471,55.7,,,212,,,
Co0.25 Cr0.25 Fe1 Mn1,FCC,CAST,FCC,,,7.7,,T,25,393,634,26.5,,,212,,,
Co0.25 Cr0.25 Fe1 Mn1,FCC,WROUGHT,FCC,,,7.7,,T,25,792,1055,22.6,,,212,,,
Co0.25 Cr0.25 Fe1 Mn1,FCC,WROUGHT,FCC,18,,7.7,,T,25,559,1004,33.9,,,212,,,
Co0.25 Cr0.25 Fe1 Mn1,FCC,WROUGHT,FCC,32,,7.7,,T,25,512,978,55.3,,,212,,,
Co0.25 Cr0.25 Fe1 Mn1,FCC,WROUGHT,FCC,63,,7.7,,T,25,476,947,69.4,,,212,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,,,8,,T,25,353,635,,43,,220,,,
C0.041 Co1 Cr1 Fe1 Mn1 Nb0.041 Ni1,FCC+Sec.,WROUGHT,other,,,8,,T,25,732,911,,32,,,,,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+HCP,WROUGHT,other,,,7.3,,C,25,1500,,6,,,,,,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,BCC,POWDER,BCC,,,7.3,,,,,,,,,102,,,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+HCP,WROUGHT,other,,,7.3,,C,25,1200,,8,,,,,,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+HCP,WROUGHT,other,,,7.3,,C,25,2100,,12,,,,,,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+HCP,WROUGHT,other,,,7.3,,C,25,1740,,20,,,,,,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+HCP,WROUGHT,other,,,7.3,,C,25,1630,,12,,,,,,
Mo1 Nb1 Ta1 W1,BCC,POWDER,BCC,,,13.7,504.5,C,25,1217,,7.5,3.8,,250,,,
Mo1 Nb1 Si0.25 Ta1 W1,BCC+Sec.,POWDER,other,,,12.9,567,C,25,1826,,16.5,10.5,,,,,
Mo1 Nb1 Si0.5 Ta1 W1,BCC+Sec.,POWDER,other,,,12.2,697,C,25,1883,,11,5.8,,,,,
Mo1 Nb1 Si0.75 Ta1 W1,BCC+Sec.,POWDER,other,,,11.6,682.6,C,25,2483,,6.2,1.6,,,,,
Mo1 Nb1 Ta1 W1,BCC,POWDER,BCC,,,13.7,420,,200,,,,,,250,,,
Mo1 Nb1 Si0.25 Ta1 W1,BCC+Sec.,POWDER,other,,,12.9,425,,200,,,,,,,,,
Mo1 Nb1 Si0.5 Ta1 W1,BCC+Sec.,POWDER,other,,,12.2,535,,200,,,,,,,,,
Mo1 Nb1 Si0.75 Ta1 W1,BCC+Sec.,POWDER,other,,,11.6,640,,200,,,,,,,,,
Mo1 Nb1 Ta1 W1,BCC,POWDER,BCC,,,13.7,425,,400,,,,,,250,,,
Mo1 Nb1 Si0.25 Ta1 W1,BCC+Sec.,POWDER,other,,,12.9,420,,400,,,,,,,,,
Mo1 Nb1 Si0.5 Ta1 W1,BCC+Sec.,POWDER,other,,,12.2,560,,400,,,,,,,,,
Mo1 Nb1 Si0.75 Ta1 W1,BCC+Sec.,POWDER,other,,,11.6,600,,400,,,,,,,,,
Mo1 Nb1 Ta1 W1,BCC,POWDER,BCC,,,13.7,340,,600,,,,,,250,,,
Mo1 Nb1 Si0.25 Ta1 W1,BCC+Sec.,POWDER,other,,,12.9,425,,600,,,,,,,,,
Mo1 Nb1 Si0.5 Ta1 W1,BCC+Sec.,POWDER,other,,,12.2,540,,600,,,,,,,,,
Mo1 Nb1 Si0.75 Ta1 W1,BCC+Sec.,POWDER,other,,,11.6,650,,600,,,,,,,,,
Mo1 Nb1 Ta1 W1,BCC,POWDER,BCC,,,13.7,335.5,,800,,,,,,250,,,
Mo1 Nb1 Si0.25 Ta1 W1,BCC+Sec.,POWDER,other,,,12.9,399.2,,800,,,,,,,,,
Mo1 Nb1 Si0.5 Ta1 W1,BCC+Sec.,POWDER,other,,,12.2,550.5,,800,,,,,,,,,
Mo1 Nb1 Si0.75 Ta1 W1,BCC+Sec.,POWDER,other,,,11.6,597.3,,800,,,,,,,,,
Mo1 Nb1 Si0.75 Ta1 W1,BCC+Sec.,POWDER,other,,,11.6,,C,1200,960,,22.7,,,,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,,,8,,T,25,1199.26,1335.35,4.37,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,,,8,,T,25,1269.23,1366.3,1.16,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,,,8,,T,25,1371.21,1402.83,1.58,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,0.166,,8,,T,25,1362.74,1471.05,3.15,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,0.248,,8,,T,25,1241.81,1325.25,4.31,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,0.468,,8,,T,25,930.3,1021.32,19.01,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,1.79,,8,,T,25,729.21,901.74,26.3,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,4.57,,8,,T,25,494.82,735.6,38.7,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,13.45,,8,,T,25,366.88,673.25,42.55,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,22.37,,8,,T,25,290.65,618.51,43.15,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,30.6,,8,,T,25,258.76,598.75,45.05,,,220,,,
C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,FCC+Sec.,POWDER,other,,7.5,7.8,457,C,25,1616,,,4.5,,,,,
C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,FCC+Sec.,POWDER,other,,7.64,7.8,461,C,25,1652,,,10,,,,,
C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,FCC+Sec.,POWDER,other,,7.66,7.8,428,C,25,1490,,,11.4,,,,,
C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,FCC+Sec.,POWDER,other,,7.69,7.8,378,C,25,1194,,,20.1,,,,,
Co1 Cr1 Fe1 Ni1,FCC,,FCC,,,8.2,,,,,,,,,226,,,
Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,,other,,,7.3,250,,,,,,,,,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC,,BCC,,,6.7,500,,,,,,,,184,,,
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,,BCC,,,5.9,733,,,,,,,,160,,,
Al0.5 Co1 Fe1 Ni1 Ti0.5,FCC+BCC,,other,,,6.9,733,,,,,,,,,,,
Al0.5 Co1 Cr1 Fe1 Ni1 Ti0.5,FCC+FCC,,other,,,6.9,640,,,,,,,,,,,
Al0.5 Co1 Cr1 Fe1 Mn1 Ni1,,,other,,,7.4,,,,,,,,,,,,
Al0.5 Co1 Cr1 Fe1 Mn1 Ni1 Ta0.2,FCC+BCC+Sec.,,other,,,7.8,385,,,,,,,,,,,
Al0.5 Co1 Cr1 Fe1 Mn1 Ni1 Ta0.4,FCC+BCC+Sec.,,other,,,8.3,486,,,,,,,,,,,
Al0.55 Co1 Cr1 Fe1 Mn1 Ni1 Ta0.6,FCC+BCC+Sec.,,other,,,8.6,570,,,,,,,,,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,,other,,,8,,,,,,,,,,,,
Co1 Cr1 Fe1 Mn1 Ni1 Ta0.2,FCC+BCC,,other,,,8.5,200,,,,,,,,,,,
Co1 Cr1 Fe1 Mn1 Ni1 Ta0.4,FCC+BCC,,other,,,9,290,,,,,,,,,,,
Co1 Cr1 Fe1 Mn1 Ni1 Ta0.6,FCC+BCC,,other,,,9.4,345,,,,,,,,,,,
Al0.3 Co1 Cr1 Fe1 Ni1,FCC,,FCC,,,7.6,160,,,,,,,,210,,,
Al0.3 Co1 Cr1 Fe1 Mo0.1 Ni1,FCC,,FCC,,,7.7,200,,,,,,,,214,,,
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,FCC,CAST,FCC,,,7.5,,T,25,280,556,48,48.2,,204,,,
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,FCC,WROUGHT,FCC,,,7.2,,T,25,320,625,42.2,42.45,,195,,,
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,FCC,CAST,FCC,,,7.5,,T,25,1253,1392,6.78,8.2,,204,,,
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,FCC,WROUGHT,FCC,,,7.2,,T,25,1400,1500,5.83,7.85,,195,,,
Co1 Cu1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,8.4,,,800,,,,,,189,,,
Co1 Cu1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,8.4,,,900,,,,,,189,,,
Co1 Cu1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,8.4,,,100,,,,,,189,,,
Co1 Cr1 Fe1 Mo0.15 Ni1,FCC,CAST,FCC,,,8.3,,T,25,489,895,,53.6,,231,,,
Co1 Cr1 Fe1 Mo0.15 Ni1,,WROUGHT,other,,,8.3,,T,25,873,,,23.4,,,,,
Co1 Cr1 Fe1 Mo0.15 Ni1,,WROUGHT,other,,,8.3,,T,25,952,1122,,14.2,,,,,
Co1 Cr1 Fe1 Mo0.15 Ni1,FCC,WROUGHT,FCC,,,8.3,,T,25,1136,1245,,8.7,,231,,,
Co1 Cr1 Fe1 Mo0.15 Ni1,FCC,WROUGHT,FCC,,,8.3,,T,25,1301,1493,,7.2,,231,,,
Co1 Cr1 Fe1 Mo0.15 Ni1,,WROUGHT,other,,,8.3,,T,25,1311,1421,,5.9,,,,,
Co1 Cr1 Fe1 Mo0.15 Ni1,,WROUGHT,other,,,8.3,,T,25,1273,1458,,5.5,,,,,
Co0.139 Cr0.446 Cu0.99 Ni1 Si0.277,,WROUGHT,other,,,7.6,142.5,T,25,777,810,3.4,,,,,,
Co0.139 Cr0.446 Cu0.99 Ni1 Si0.277,,WROUGHT,other,,,7.6,147.4,,,,,,,,,,,
Co0.139 Cr0.446 Cu0.99 Ni1 Si0.277,,WROUGHT,other,,,7.6,155.2,,,,,,,,,,,
Al1 Co1 Cr0.091 Nb0.727 W0.212,,CAST,other,,,7.2,1084,,25,,,,,,,,,
Co1 Cr0.917 Ni1 Ta0.5 Ti0.75,,CAST,other,,,8.8,1011,,25,,,,,,,,,
Al0.947 Co0.158 Mo1 Ni0.289 W0.237,,CAST,other,,,8,725,,25,,,,,,,,,
Co0.043 Nb0.638 Ni1 Ta0.255 Ti0.191,,CAST,other,,,9.5,815,,25,,,,,,,,,
Co0.273 Cr0.477 Nb0.477 Ni0.045 Ti1,,CAST,other,,,6.4,422,,25,,,,,,,,,
Co1 Cr0.487 Nb0.231 Ta0.026 Ti0.821,,CAST,other,,,6.9,856,,25,,,,,,,,,
Co0.564 Nb0.795 Ta0.103 Ti1 W0.103,,CAST,other,,,7.7,277,,25,,,,,,,,,
Al1 Co1 Cu1 Fe1 Ni0.5,FCC+BCC+B2,CAST,other,,,6.9,430.9,C,25,929,,13.7,,,,,,
Al1 Co1 Cu1 Fe1 Ni0.8,FCC+BCC+B2,CAST,other,,,7,420,C,25,1021,,12.3,,,,,,
Al1 Co1 Cu1 Fe1 Ni1,FCC+BCC+B2,CAST,other,,,7,391.4,C,25,994,,24.5,,,,,,
Al0.667 Co0.667 Cu0.667 Fe0.667 Ni1,FCC+BCC+B2,CAST,other,,,7.2,323.8,C,25,680,,35.9,,,,,,
Al0.5 Co0.5 Cu0.5 Fe0.5 Ni1,FCC+BCC+B2,CAST,other,,,7.3,299.2,C,25,544,,,,,,,,
Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,FCC,CAST,FCC,,,7.5,279.6,C,25,268,,,,,167,,,
Al0.5 Cr1 Fe1 Mn1 Ni1,BCC+B2,CAST,other,,,7.1,353,C,25,1091,,50,,,,,,
Al0.6 Cr1 Fe1 Mn1 Ni1,BCC+B2,CAST,other,,,6.9,361,C,25,1130,,53,,,,,,
Al0.7 Cr1 Fe1 Mn1 Ni1,BCC+B2,CAST,other,,,6.8,375,C,25,1170,,55,,,,,,
Al0.8 Cr1 Fe1 Mn1 Ni1,BCC+B2,CAST,other,,,6.7,386,C,25,1200,,55,,,,,,
Co1 Cr0.2 Fe1 Ni1 Si0.2,FCC,CAST,FCC,,,7.8,130.1,T,25,225,732,61,,,195,,,
Co1 Cr0.2 Fe1 Ni1 Si0.2,FCC,WROUGHT,FCC,,,7.8,318.2,T,25,705,1070,10,,,195,,,
Co1 Cr0.2 Fe1 Ni1 Si0.2,FCC,WROUGHT,FCC,,,7.8,153.8,T,25,320,920,60,,,195,,,
Al1 Cu0.077 Fe0.077 Mg0.077 Si0.231 Zn0.077,FCC,CAST,FCC,,3.08,3.2,,C,25,422,,1,,88.7,73,,,
Al1 Cu0.077 Mg0.077 Ni0.077 Si0.231 Zn0.077,FCC,CAST,FCC,,3.15,3.2,,C,25,534,,1,,107.8,72,,,
Al1 Cr0.077 Cu0.077 Mg0.077 Si0.231 Zn0.077,FCC,CAST,FCC,,3.06,3.1,,C,25,490,,6,,78.4,75,,,
Al1 Cu0.077 Mg0.077 Mn0.077 Si0.231 Zn0.077,FCC,CAST,FCC,,2.98,3.2,,C,25,622,,2,,114.1,73,,,
Al1 Cu0.077 Mg0.077 Si0.231 Zn0.077 Zr0.077,FCC+Laves,CAST,other,,3.06,3.2,,C,25,565,,4,,105.1,,,,
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,CAST,FCC,,,8.3,,T,25,400,780,53,,,232,,,
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,ANNEAL,FCC,,,8.3,,T,25,,838,43,,,232,,,
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,ANNEAL,FCC,,,8.3,,T,25,,899,31,,,232,,,
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,ANNEAL,FCC,,,8.3,,T,25,,902,29,,,232,,,
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,ANNEAL,FCC,,,8.3,,T,25,,811,52,,,232,,,
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,ANNEAL,FCC,,,8.3,,T,25,,790,49,,,232,,,
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,ANNEAL,FCC,,,8.3,,T,25,,799,47,,,232,,,
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,ANNEAL,FCC,,,8.3,,T,25,,802,37,,,232,,,
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,ANNEAL,FCC,,,8.3,,T,25,,823,36,,,232,,,
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,ANNEAL,FCC,,,8.3,,T,25,,849,34,,,232,,,
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,ANNEAL,FCC,,,8.3,,T,25,,895,32,,,232,,,
Al0.569 Ca0.143 Li0.857 Mg1 Si0.286 Y0.003,,CAST,other,,1.7,1.6,,C,25,556,,3,,,,,,
Al0.429 Ca0.286 Li1 Mg1 Si0.143,,CAST,other,,1.57,1.4,,C,25,418,,13,,,,,,
Al0.312 Ca0.021 Li0.792 Mg1 Si0.021,,CAST,other,,1.52,1.4,,C,25,360,,9,,,,,,
Al0.333 Ca0.011 Li0.844 Mg1 Si0.033,,CAST,other,,1.5,1.4,,C,25,342,,44,,,,,,
Al0.333 Ca0.011 Li0.867 Mg1 Si0.011,,CAST,other,,1.46,1.4,,C,25,300,,63,,,,,,
Co1 Cr1 Fe1 Ni1 Pd1,FCC,CAST,FCC,,,9.2,295,,,,,,,,201,,,
Co1 Cr1 Fe1 Mn0.2 Ni1 Pd1,FCC+Sec.,CAST,other,,,9.1,470,C,25,650,,50,,,,,,
Co1 Cr1 Fe1 Mn0.4 Ni1 Pd1,FCC+Sec.,CAST,other,,,9.1,380,C,25,650,,46,,,,,,
Co1 Cr1 Fe1 Mn0.6 Ni1 Pd1,FCC+Sec.,CAST,other,,,9,180,C,25,650,,42,,,,,,
Co1 Cr1 Fe1 Mn0.8 Ni1 Pd1,FCC+Sec.,CAST,other,,,8.9,160,C,25,650,,35,,,,,,
Al0.3 Co1 Cr1 Fe1 Mn1 Ni1,,POWDER,other,,,7.6,,,,,,,,,,,,
Cr1 Fe1 Ni1 Ti0.2,BCC+FCC,CAST,other,,,7.6,362.2,C,25,2297.94,,5.8,,,,,,
Cr1 Fe1 Ni1 Ti0.3,BCC+FCC,CAST,other,,,7.5,510.3,C,25,2364.63,,,,,,,,
Cr1 Fe1 Ni1 Ti0.4,BCC,CAST,BCC,,,7.4,600.3,C,25,2475.41,,6.5,,,212,,,
Cr1 Fe1 Ni1 Ti0.5,BCC,CAST,BCC,,,7.3,709.6,C,25,2380.79,,,,,208,,,
Cr1 Fe1 Ni1 Ti0.6,BCC,CAST,BCC,,,7.2,718.2,C,25,1923.15,,,,,204,,,
Al1 Cr1 Cu1 Fe1 Mn1,Other,POWDER,other,,,6.5,633,C,25,1010,,,,,,,,
Al1 Cr1 Cu1 Fe1 Mn1 W0.05,BCC+Sec.,POWDER,other,,,6.7,680,C,25,1120,,,,,,,,
Al1 Cr1 Cu1 Fe1 Mn1 W0.1,BCC+Sec.,POWDER,other,,,6.8,705,C,25,1250,,,,,,,,
Al1 Cr1 Cu1 Fe1 Mn1 W0.5,BCC+Sec.,POWDER,other,,,7.9,780,C,25,1510,,,,,,,,
Co1 Cu1 Fe1 Nb0.5 Ni1,FCC+Laves,WROUGHT,other,,,8.6,,,,,,,,,,,,
Co0.2 Cu0.2 Fe0.2 Nb1 Ni0.2,FCC+Laves,WROUGHT,other,,,8.6,,C,25,1498,,37.6,,,,,,
Co0.133 Cu0.133 Fe0.133 Nb1 Ni0.133,FCC+Laves,WROUGHT,other,,,8.6,,C,25,1635,,31.7,,,,,,
Co0.086 Cu0.086 Fe0.086 Nb1 Ni0.086,FCC+Laves,WROUGHT,other,,,8.6,,C,25,1703,,18.3,,,,,,
Co0.067 Cu0.067 Fe0.067 Nb1 Ni0.067,FCC+Laves,WROUGHT,other,,,8.6,,C,25,1415,,12.6,,,,,,
Co0.2 Cr0.2 Fe1 Mn0.6,FCC+Sec.,CAST,other,,,7.8,296,,,,,,,,,,,
B0.006 Co0.201 Cr0.201 Fe1 Mn0.604,FCC+Sec.,CAST,other,,,7.8,282,,,,,,,,,,,
B0.012 Co0.202 Cr0.202 Fe1 Mn0.607,FCC+Sec.,CAST,other,,,7.8,306,,,,,,,,,,,
B0.035 Co0.207 Cr0.207 Fe1 Mn0.621,FCC+Sec.,CAST,other,,,7.7,452,,,,,,,,,,,
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,CAST,other,,,7.3,,T,25,159,535,,40.8,,,,,
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,ANNEAL,other,,,7.3,,T,25,409,584,,10.5,,,,,
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,CAST,other,,,7.3,,T,25,355,1174,,49.5,,,,,
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,ANNEAL,other,,,7.3,,T,25,954,978,,2,,,,,
Hf1 Ti1 Zr1,Other,CAST,other,,,8.3,211,C,25,773,,17,,,,,,
Hf1 Sc1 Ti1 Zr1,Other,CAST,other,,,6.8,233,C,25,1001,,21.9,,,,,,
Hf1 Ti1 Y1 Zr1,Other,CAST,other,,,7,241,C,25,554,,17.7,,,,,,
Hf1 Sc1 Ti1 Y1 Zr1,Other,CAST,other,,,6.2,256,C,25,793,,15.7,,,,,,
Co1 Cr1 Fe1 Ga1 Ni1,FCC+BCC,CAST,other,,,7.5,,,,,,,,,,,,
Al0.562 Co0.938 Cr0.312 Fe0.312 Ni1,FCC+BCC,CAST,other,,,7.1,305.4,C,25,1129.4,,16.7,,,,,,
Al0.581 Co0.968 Cr0.323 Fe0.323 Mo0.032 Ni1,FCC+BCC,CAST,other,,,7.1,357.3,C,25,1159.7,,18.2,,,,,,
Al0.6 Co1 Cr0.333 Fe0.333 Mo0.067 Ni1,FCC+BCC,CAST,other,,,7.1,362.6,C,25,1250.8,,14.7,,,,,,
Al0.6 Co1 Cr0.333 Fe0.333 Mo0.1 Ni0.967,FCC+BCC,CAST,other,,,7.2,359.7,C,25,1198.3,,14.5,,,,,,
Co1 Cr1 Fe1 Mo0.149 Ni1,FCC+Sec.,POWDER,other,,,8.3,210,,,,,,,,,,,
Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,8.3,,C,25,300,,50.2,,,206,,,
Co1 Cr1 Cu1 Fe1 Ni1 V0.042,FCC+Sec.,CAST,other,,,8.3,,C,25,303,,50.2,,,,,,
Co1 Cr1 Cu1 Fe1 Ni1 V0.087,FCC+Sec.,CAST,other,,,8.3,,C,25,307,,50.2,,,,,,
Co1 Cr1 Cu1 Fe1 Ni1 V0.136,FCC+Sec.,CAST,other,,,8.3,,C,25,330,,50.2,,,,,,
Co1 Cr1 Cu1 Fe1 Ni1 V0.19,FCC+Sec.,CAST,other,,,8.2,,C,25,616,,28,,,,,,
Co1 Cr1 Cu1 Ni1 Zn1,BCC+FCC,POWDER,other,500,5.26,8.1,,C,25,,,,,,,,,
Co1 Cr1 Cu1 Ni1 Zn1,BCC+FCC,POWDER,other,500,6.26,8.1,,C,25,,,,,,,,,
Co1 Cr1 Cu1 Ni1 Zn1,BCC+FCC,POWDER,other,500,7.84,8.1,,C,25,,,,,,,,,
Co1 Cr1 Cu1 Ni1 Zn1,FCC+FCC,POWDER,other,500,7.89,8.1,615,C,25,2121,,,,,,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,500,,9.9,359,T,25,1155,1212,12.3,,59,107,,,
Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,500,,8.9,358,T,25,1144,1205,6.4,,98,115,,,
Nb1 Ta1 Ti1,BCC,CAST,BCC,500,,10,246,T,25,620,683,18.5,,143,136,,,
Ta1 Ti1 Zr1,BCC+Sec.,CAST,other,500,,9,485,T,25,,284,0,,157,,,,
Nb1 Ti1 Zr1,BCC,CAST,BCC,500,,6.5,295,T,25,956,991,14.2,,88,94,,,
Nb1 Ta0.667 Ti0.667 Zr0.333,BCC+Sec.,CAST,other,500,,9.2,294,T,25,822,852,0.33,,127,,,,
Nb0.333 Ta0.667 Ti0.667 Zr1,BCC+Sec.,CAST,other,500,,8.6,489,T,25,,843,0,,93,,,,
Ag1 Al1 Nb1 Ti1 Zn1,,ANNEAL,other,,4.75,6.7,,,,,,,,,,,,
Ag1 Al1 Nb1 Ti1 Zn1,,ANNEAL,other,,5.78,6.7,,,,,,,,,,,,
Ag1 Al1 Nb1 Ti1 Zn1,,ANNEAL,other,,5.79,6.7,,,,,,,,,,,,
Ag1 Al1 Nb1 Ti1 Zn1,,ANNEAL,other,,5.51,6.7,,,,,,,,,,,,
Ag1 Al1 Nb1 Ti1 Zn1,,ANNEAL,other,,,6.7,,,,,,,,,,,,
Al0.774 Fe1 Mn0.903 Ni0.484,,CAST,other,,,6.3,310,,,,,,,,,,,
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,,CAST,other,,,6.3,330,,,,,,,,,,,
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,,CAST,other,,,6.2,500,,,,,,,,,,,
