FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature (celcius),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
Al0.5 B0.6 Co1 Cr1 Cu1 Fe1 Ni1,,CAST,other,,,7.3,505,,25,,,,,,,,,
Al0.5 B1 Co1 Cr1 Cu1 Fe1 Ni1,,CAST,other,,,7.1,736,,25,,,,,,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,CAST,other,,,7.6,300,,25,,,,,,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,225,,25,,,,,,189,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,FCC+BCC+Sec.,CAST,other,,,7,636,,25,,,,,,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.2,FCC,CAST,FCC,,,7.5,272,,25,,,,,,185,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4,FCC,CAST,FCC,,,7.3,321,,25,,,,,,182,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.6,FCC+BCC,CAST,other,,,7.2,458,,25,,,,,,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,FCC+BCC+Sec.,CAST,other,,,7.1,590,,25,,,,,,,,,
Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 Ti1,FCC+BCC+Sec.,CAST,other,,,6.9,646,,25,,,,,,,,,
Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 Ti1,FCC+BCC+B2+Sec.,CAST,other,,,6.8,664,,25,,,,,,,,,
